unit,sex,nace_r2,geo\time,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
PC_EMP,T,KIS,CZ,29.7 b,"30,8","31,8",31.6 b,32,"32,6","32,6",32,"32,9","33,3","33,3","33,5"
PC_EMP,T,KIS,DE,38.7 b,"39,5",40.2 b,40.3 b,40.5 b,"39,6","39,7",40,"40,4","40,4","40,7","41,1"
PC_EMP,T,KIS,DK,46.0 b,"48,4","50,1","49,9","49,7","49,9",50,49,49.1 b,48.4 b,"48,5","48,7"
PC_EMP,T,KIS,EA19,37.2 b,"38,2","38,9","39,2","39,5","39,5","39,9","40,1","40,1","40,1","40,3","40,6"
PC_EMP,T,KIS,EE,31.3 b,"35,1","35,3","34,3",35,"35,5","36,1","35,8","35,8","35,5","36,6","37,7"
PC_EMP,T,KIS,EL,32.5 b,32.8 b,"33,4","34,7","36,3","36,7","36,2","35,9","36,4","36,2","36,4","36,6"
PC_EMP,T,KIS,ES,30.9 b,"33,4","34,9","35,6","36,1","35,9","36,2","35,9","35,9","35,9","35,8","36,1"
PC_EMP,T,KIS,EU27_2020,35.5 b,"36,5","37,2","37,5","37,8","37,9","38,3","38,4","38,6","38,6","38,7",39
PC_EMP,T,KIS,EU28,36.9 b,"38,1","38,7",39,"39,3","39,4","39,7","39,9",40,40,"40,3","40,7"
PC_EMP,T,KIS,FI,41.5 b,"42,6","42,9","44,1","44,3","44,4","45,1","45,4",45,"45,8","45,8","46,2"
PC_EMP,T,KIS,FR,43.0 b,"43,4","43,8","44,2","44,5","44,7",45.7 b,"46,3","46,1","46,1","46,2","46,7"
PC_EMP,T,KIS,HR,27.1 b,"28,8","30,2","29,5","30,8","32,8","33,5","33,5",34,"34,5","35,4","36,2"
PC_EMP,T,KIS,HU,33.2 b,"34,4","35,1","34,5","35,1","36,1","35,7","35,9","36,1","35,1",35,"34,9"
PC_EMP,T,KIS,IE,40.2 b,"43,3","44,6","45,1","45,6","45,4","45,6",45,"44,6",44.4 b,"44,3",45
PC_EMP,T,KIS,IS,48.4 b,"49,3","49,8","48,1","48,2","48,1","47,9","48,3","48,1","48,9",51,"51,8"
PC_EMP,T,KIS,IT,33.6 b,"33,8",34,"34,1","33,9","34,2","34,5","34,5","34,6","34,7","34,6","34,8"
PC_EMP,T,KIS,LT,30.6 b,"32,8","34,2",34,"33,6","33,1","32,8","33,8","34,5","34,3","34,6","35,1"
PC_EMP,T,KIS,LU,54.2 b,55.9 b,"55,2","55,8",57,"57,2","58,3",52.1 b,"51,5","48,5","52,4","55,4"
PC_EMP,T,KIS,LV,32.2 b,"34,7",35,"35,3","36,5","36,1","35,7",36,"36,2","37,3",36,"36,5"
PC_EMP,T,KIS,ME,: ,: ,: ,"36,3","36,7","36,6","34,8","35,6","36,4","36,4","35,2",36
PC_EMP,T,KIS,MK,: ,: ,: ,"26,1","26,8","25,6","25,5",26,"26,8","26,4","25,9","26,9"
PC_EMP,T,KIS,MT,39.7 b,40,"40,2","42,3","45,1","44,1","44,4","46,3","45,9","46,4","47,9","46,8"
PC_EMP,T,KIS,NL,45.8 b,"45,2","45,4","45,3","45,3",46.7 b,"46,6","46,3",46,45,"45,8","46,1"
PC_EMP,T,KIS,NO,47.5 b,"50,4","51,2","51,2","51,3","51,2","51,2",51,"51,8",52,52,52
PC_EMP,T,KIS,PL,28.3 b,"29,5",30.1 b,30,"30,6","31,2","31,4","31,2","30,9","31,3","31,7","31,7"
PC_EMP,T,KIS,PT,28.4 b,"29,4","30,2",31.8 b,"32,7","33,5","34,9","35,9","35,9","35,5","36,7","36,7"
PC_EMP,T,KIS,RO,19.0 b,"19,8",19.8 b,"20,6","20,4","20,1",20,"21,8",22,"22,3","22,1","22,5"
PC_EMP,T,KIS,RS,: ,: ,"27,1","26,8",27,"27,5",28.6 b,"28,3","27,3","27,5","27,9","27,4"
PC_EMP,T,KIS,SE,49.6 b,"50,3","50,6","51,2","51,5","51,7","52,5","52,8","53,2","53,5",53.8 b,54
PC_EMP,T,KIS,SI,31.2 b,"32,3","33,5","34,5","35,2","34,4","34,7","35,1","35,6","35,6","35,2","35,7"
PC_EMP,T,KIS,SK,29.6 b,31.0 b,"32,3",32.3 b,"31,9","32,8",34,"33,8","33,6","34,4","34,5","35,1"
PC_EMP,T,KIS,TR,: ,"18,5","18,3","18,4","19,8","20,1",20.7 b,"21,8","22,8","22,6","24,2","25,8"
PC_EMP,T,KIS,UK,46.2 b,"48,4","48,6","48,6","48,5","48,7","48,7","49,1",49,"49,1","49,7","50,5"
